,backer_info
0,"{""backer_id"": ""av166"", ""cf_id"": 968, ""name"": ""Angelo Vincent"", ""email"": ""avincent@live.com""}"
1,"{""backer_id"": ""ha127"", ""cf_id"": 563, ""name"": ""Hubert Arnold"", ""email"": ""harnold@yandex.com""}"
2,"{""backer_id"": ""lg794"", ""cf_id"": 65, ""name"": ""Loris Goulet"", ""email"": ""lgoulet@yandex.com""}"
3,"{""backer_id"": ""tb566"", ""cf_id"": 563, ""name"": ""Teodora Brunelli"", ""email"": ""tbrunelli@outlook.com""}"
4,"{""backer_id"": ""lh506"", ""cf_id"": 563, ""name"": ""Lexie Hunt"", ""email"": ""lhunt@live.com""}"
5,"{""backer_id"": ""lh382"", ""cf_id"": 563, ""name"": ""Lambert Huber"", ""email"": ""lhuber@live.com""}"
6,"{""backer_id"": ""em444"", ""cf_id"": 563, ""name"": ""Emmy Morin"", ""email"": ""emorin@live.com""}"
7,"{""backer_id"": ""at582"", ""cf_id"": 1572, ""name"": ""Armonda Trani"", ""email"": ""atrani@live.com""}"
8,"{""backer_id"": ""id772"", ""cf_id"": 1911, ""name"": ""Ilana Duke"", ""email"": ""iduke@outlook.com""}"
9,"{""backer_id"": ""lw275"", ""cf_id"": 65, ""name"": ""Leigha Wright"", ""email"": ""lwright@live.com""}"
10,"{""backer_id"": ""ub509"", ""cf_id"": 65, ""name"": ""Uwe Becker"", ""email"": ""ubecker@yahoo.com""}"
11,"{""backer_id"": ""ha915"", ""cf_id"": 1572, ""name"": ""Hawa Audy"", ""email"": ""haudy@gmail.com""}"
12,"{""backer_id"": ""bb881"", ""cf_id"": 968, ""name"": ""Bia Bonura"", ""email"": ""bbonura@yahoo.com""}"
13,"{""backer_id"": ""mg332"", ""cf_id"": 65, ""name"": ""Michel Garner"", ""email"": ""mgarner@protonmail.com""}"
14,"{""backer_id"": ""kd700"", ""cf_id"": 1572, ""name"": ""Karole Dunn"", ""email"": ""kdunn@yahoo.com""}"
15,"{""backer_id"": ""as695"", ""cf_id"": 563, ""name"": ""Arndt Schreiber"", ""email"": ""aschreiber@yahoo.com""}"
16,"{""backer_id"": ""iv513"", ""cf_id"": 65, ""name"": ""Imen Villeneuve"", ""email"": ""ivilleneuve@yahoo.com""}"
17,"{""backer_id"": ""ab842"", ""cf_id"": 65, ""name"": ""Alcina Bonadonna"", ""email"": ""abonadonna@yandex.com""}"
18,"{""backer_id"": ""re181"", ""cf_id"": 1114, ""name"": ""Raelene Espinoza"", ""email"": ""respinoza@outlook.com""}"
19,"{""backer_id"": ""kn133"", ""cf_id"": 65, ""name"": ""Kati Nash"", ""email"": ""knash@protonmail.com""}"
20,"{""backer_id"": ""gj893"", ""cf_id"": 65, ""name"": ""Georg Jager"", ""email"": ""gjager@yahoo.com""}"
21,"{""backer_id"": ""vp915"", ""cf_id"": 948, ""name"": ""Virgilio Paolella"", ""email"": ""vpaolella@gmail.com""}"
22,"{""backer_id"": ""ja995"", ""cf_id"": 563, ""name"": ""Jerrica Avila"", ""email"": ""javila@protonmail.com""}"
23,"{""backer_id"": ""ga249"", ""cf_id"": 563, ""name"": ""Gianni Achterberg"", ""email"": ""gachterberg@live.com""}"
24,"{""backer_id"": ""td403"", ""cf_id"": 65, ""name"": ""Timoteo Dion"", ""email"": ""tdion@gmail.com""}"
25,"{""backer_id"": ""tv463"", ""cf_id"": 1572, ""name"": ""Teodoro Verno"", ""email"": ""tverno@yandex.com""}"
26,"{""backer_id"": ""mw606"", ""cf_id"": 65, ""name"": ""Morris Waller"", ""email"": ""mwaller@protonmail.com""}"
27,"{""backer_id"": ""hc648"", ""cf_id"": 65, ""name"": ""Hans Chen"", ""email"": ""hchen@yandex.com""}"
28,"{""backer_id"": ""ta379"", ""cf_id"": 563, ""name"": ""Trilby Auer"", ""email"": ""tauer@yahoo.com""}"
29,"{""backer_id"": ""tj583"", ""cf_id"": 1572, ""name"": ""Theola Jodoin"", ""email"": ""tjodoin@yandex.com""}"
30,"{""backer_id"": ""tc559"", ""cf_id"": 65, ""name"": ""Tova Capri"", ""email"": ""tcapri@live.com""}"
31,"{""backer_id"": ""ww629"", ""cf_id"": 65, ""name"": ""Wanda Walton"", ""email"": ""wwalton@protonmail.com""}"
32,"{""backer_id"": ""jg155"", ""cf_id"": 1572, ""name"": ""Justine Gill"", ""email"": ""jgill@yahoo.com""}"
33,"{""backer_id"": ""jd328"", ""cf_id"": 1911, ""name"": ""Julee Doyle"", ""email"": ""jdoyle@gmail.com""}"
34,"{""backer_id"": ""ld239"", ""cf_id"": 65, ""name"": ""Lisbeth Deliso"", ""email"": ""ldeliso@gmail.com""}"
35,"{""backer_id"": ""cv918"", ""cf_id"": 968, ""name"": ""Carl Valdez"", ""email"": ""cvaldez@gmail.com""}"
36,"{""backer_id"": ""kb145"", ""cf_id"": 563, ""name"": ""Kelyan Butler"", ""email"": ""kbutler@yahoo.com""}"
37,"{""backer_id"": ""dw578"", ""cf_id"": 65, ""name"": ""Donat Weber"", ""email"": ""dweber@live.com""}"
38,"{""backer_id"": ""ad511"", ""cf_id"": 65, ""name"": ""Alethia Delorme"", ""email"": ""adelorme@outlook.com""}"
39,"{""backer_id"": ""db633"", ""cf_id"": 65, ""name"": ""Darrell Bernardi"", ""email"": ""dbernardi@yandex.com""}"
40,"{""backer_id"": ""cr369"", ""cf_id"": 65, ""name"": ""Carina Reeves"", ""email"": ""creeves@gmail.com""}"
41,"{""backer_id"": ""mr978"", ""cf_id"": 65, ""name"": ""Marvin Ruiz"", ""email"": ""mruiz@outlook.com""}"
42,"{""backer_id"": ""md167"", ""cf_id"": 1572, ""name"": ""Mariabella Duerr"", ""email"": ""mduerr@live.com""}"
43,"{""backer_id"": ""jr877"", ""cf_id"": 1572, ""name"": ""Jeni Ricco"", ""email"": ""jricco@live.com""}"
44,"{""backer_id"": ""om753"", ""cf_id"": 65, ""name"": ""Otto Munoz"", ""email"": ""omunoz@yahoo.com""}"
45,"{""backer_id"": ""ng231"", ""cf_id"": 1114, ""name"": ""Nesrine Gensch"", ""email"": ""ngensch@yandex.com""}"
46,"{""backer_id"": ""tl316"", ""cf_id"": 65, ""name"": ""Tullio Lejeune"", ""email"": ""tlejeune@outlook.com""}"
47,"{""backer_id"": ""dl139"", ""cf_id"": 563, ""name"": ""Dreama Lonardo"", ""email"": ""dlonardo@live.com""}"
48,"{""backer_id"": ""mw253"", ""cf_id"": 968, ""name"": ""Maryrose West"", ""email"": ""mwest@live.com""}"
49,"{""backer_id"": ""im424"", ""cf_id"": 65, ""name"": ""Irina Mays"", ""email"": ""imays@yandex.com""}"
50,"{""backer_id"": ""mb131"", ""cf_id"": 968, ""name"": ""Marcelo Brose"", ""email"": ""mbrose@protonmail.com""}"
51,"{""backer_id"": ""nc240"", ""cf_id"": 1572, ""name"": ""Nestor Coutant"", ""email"": ""ncoutant@gmail.com""}"
52,"{""backer_id"": ""ab318"", ""cf_id"": 1572, ""name"": ""Aloysius Braun"", ""email"": ""abraun@live.com""}"
53,"{""backer_id"": ""af301"", ""cf_id"": 65, ""name"": ""Amos Ferre"", ""email"": ""aferre@gmail.com""}"
54,"{""backer_id"": ""bl736"", ""cf_id"": 563, ""name"": ""Brigitte Lynch"", ""email"": ""blynch@outlook.com""}"
55,"{""backer_id"": ""ar957"", ""cf_id"": 65, ""name"": ""Alegra Ramsey"", ""email"": ""aramsey@yahoo.com""}"
56,"{""backer_id"": ""cb474"", ""cf_id"": 968, ""name"": ""Conchita Beitel"", ""email"": ""cbeitel@gmail.com""}"
57,"{""backer_id"": ""dv246"", ""cf_id"": 1572, ""name"": ""Donnie Vernet"", ""email"": ""dvernet@protonmail.com""}"
58,"{""backer_id"": ""cj111"", ""cf_id"": 563, ""name"": ""Cyril Jones"", ""email"": ""cjones@protonmail.com""}"
59,"{""backer_id"": ""lh765"", ""cf_id"": 563, ""name"": ""Lucinda Hays"", ""email"": ""lhays@outlook.com""}"
